timestamp,V_batt,I_batt,T_batt,V_solar,I_solar,V_bus,I_bus,T_eps,SOC,anomaly_type,orbit_sunlight,P_batt,P_solar,P_bus,converter_ratio,charge_efficiency,delta_V_batt,delta_I_batt,delta_T_batt,delta_V_bus,delta_I_bus,delta_SOC,rolling_std_V_batt,rolling_mean_V_batt,rolling_std_I_batt,rolling_mean_I_batt,rolling_std_T_batt,rolling_mean_T_batt,V_batt_V_bus_ratio,power_balance
2025-12-12 11:55:16.210811,7.622,-0.346,-10.9,0.831,0.087,7.616,0.356,-12.1,40.5,normal,False,-2.637212,0.07229699999999999,2.711296,9.164861612515042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.622,0.0,-0.346,0.0,-10.9,1.0007878151260505,-0.001787000000000205
2025-12-12 11:55:33.490811,7.298,-0.379,-12.2,0.831,0.068,7.267,0.357,-11.1,19.9,normal,False,-2.765942,0.056508,2.594319,8.744885679903732,0.0,-0.32399999999999984,-0.03300000000000003,-1.299999999999999,-0.3489999999999993,0.0010000000000000009,-20.6,0.22910259710444128,7.46,0.02333452377915609,-0.3625,0.9192388155425104,-11.55,1.0042658593642493,0.22813099999999986
2025-12-12 11:55:50.770811,7.23,-0.352,-11.0,0.825,0.023,7.218,0.371,-10.8,17.3,normal,False,-2.54496,0.018975,2.6778779999999998,8.74909090909091,0.0,-0.06799999999999962,0.027000000000000024,1.1999999999999993,-0.04900000000000038,0.014000000000000012,-2.599999999999998,0.2094691703648374,7.383333333333333,0.01757839583124696,-0.359,0.7234178138070229,-11.366666666666667,1.00166251039069,-0.11394299999999946
2025-12-12 11:56:08.050811,7.518,-0.404,-10.5,0.867,0.051,7.492,0.38,-10.6,33.2,normal,False,-3.037272,0.044217,2.84696,8.641291810841984,0.0,0.28799999999999937,-0.052000000000000046,0.5,0.274,0.009000000000000008,15.900000000000002,0.18380787070561824,7.417,0.026688012290165066,-0.37024999999999997,0.7325753658611966,-11.15,1.0034703683929524,0.2345290000000002
2025-12-12 11:56:25.330811,8.521,0.487,3.9,0.78,0.107,7.128,0.396,-3.2,14.7,batt_overvoltage,False,4.149727,0.08346,2.8226880000000003,9.138461538461538,0.0,1.003000000000001,0.891,14.4,-0.3639999999999999,0.016000000000000014,-18.500000000000004,0.5187506144574677,7.6378,0.38406991551018416,-0.1988,6.760399396485388,-8.14,1.195426487093154,-6.888955000000001
2025-12-12 11:56:25.330811,7.352,-0.381,-9.9,0.896,0.065,7.358,0.387,-10.7,24.7,normal,False,-2.8011120000000003,0.05824,2.847546,8.212053571428571,0.0,-1.1690000000000005,-0.868,-13.8,0.22999999999999954,-0.009000000000000008,10.0,0.4784301063548017,7.590166666666666,0.3514833803562647,-0.22916666666666666,6.08922545704022,-8.433333333333334,0.9991845610220169,0.011806000000000427
2025-12-12 11:56:42.610811,7.411,-0.376,-10.4,0.758,0.063,7.379,0.392,-10.7,26.5,normal,False,-2.786536,0.047754,2.892568,9.734828496042216,0.0,0.058999999999999275,0.0050000000000000044,-0.5,0.020999999999999908,0.0050000000000000044,1.8000000000000007,0.4419637455504157,7.564571428571428,0.3256232119958222,-0.2501428571428571,5.6081573240618505,-8.714285714285714,1.0043366309798076,-0.05827800000000005
2025-12-12 11:56:59.890811,7.508,-0.399,-11.5,0.892,0.076,7.494,0.4,-10.5,33.3,normal,False,-2.995692,0.067792,2.9976000000000003,8.40134529147982,0.0,0.09700000000000042,-0.02300000000000002,-1.0999999999999996,0.11500000000000021,0.008000000000000007,6.799999999999997,0.40966746096246004,7.5575,0.30602789321983614,-0.26875,5.284732051593805,-9.0625,1.0018681611956233,0.06588399999999961
2025-12-12 11:57:17.170811,7.308,-0.39,-10.8,0.749,0.055,7.277,0.42,-9.7,20.6,normal,False,-2.85012,0.041195,3.05634,9.71562082777036,0.0,-0.20000000000000018,0.009000000000000008,0.6999999999999993,-0.21699999999999964,0.019999999999999962,-12.699999999999996,0.3921296908478681,7.5297777777777775,0.2891019620210912,-0.2822222222222222,4.977225911868757,-9.255555555555555,1.0042599972516146,-0.16502499999999998
2025-12-12 11:57:34.450811,7.651,-0.408,-10.6,0.777,0.064,7.668,0.422,-9.5,43.6,normal,False,-3.1216079999999997,0.049728,3.235896,9.86872586872587,0.0,0.34299999999999997,-0.01799999999999996,0.20000000000000107,0.391,0.0020000000000000018,23.0,0.3716854853232772,7.5419,0.2754546948027731,-0.2948,4.711793713650886,-9.39,0.9977829942618675,-0.06456000000000017
