cycle,timestamp,final_decision,decision_source,confidence,ai_level,ai_error,rule_level
1,2025-12-12 11:55:16.210811,CRITICAL,AI_DOMINANT,HIGH,CRITICAL,,NORMAL
2,2025-12-12 11:55:33.490811,CRITICAL,AI_DOMINANT,HIGH,CRITICAL,,NORMAL
3,2025-12-12 11:55:50.770811,CRITICAL,AI_DOMINANT,HIGH,CRITICAL,,NORMAL
4,2025-12-12 11:56:08.050811,CRITICAL,AI_DOMINANT,HIGH,CRITICAL,,NORMAL
5,2025-12-12 11:56:25.330811,CRITICAL,AI_DOMINANT,HIGH,CRITICAL,,NORMAL
6,2025-12-12 11:56:25.330811,CRITICAL,AI_DOMINANT,HIGH,CRITICAL,,NORMAL
7,2025-12-12 11:56:42.610811,CRITICAL,AI_DOMINANT,HIGH,CRITICAL,,NORMAL
8,2025-12-12 11:56:59.890811,CRITICAL,AI_DOMINANT,HIGH,CRITICAL,,NORMAL
9,2025-12-12 11:57:17.170811,CRITICAL,AI_DOMINANT,HIGH,CRITICAL,,NORMAL
10,2025-12-12 11:57:34.450811,CRITICAL,AI_DOMINANT,HIGH,CRITICAL,,NORMAL
11,2025-12-12 11:57:51.730811,CRITICAL,AI_DOMINANT,HIGH,CRITICAL,,NORMAL
12,2025-12-12 11:58:09.010811,CRITICAL,AI_DOMINANT,HIGH,CRITICAL,,NORMAL
13,2025-12-12 11:58:26.290811,CRITICAL,AI_DOMINANT,HIGH,CRITICAL,,NORMAL
14,2025-12-12 11:58:43.570811,CRITICAL,AI_DOMINANT,HIGH,CRITICAL,,NORMAL
15,2025-12-12 11:59:00.850811,CRITICAL,AI_DOMINANT,HIGH,CRITICAL,,NORMAL
16,2025-12-12 11:59:18.130811,CRITICAL,AI_DOMINANT,HIGH,CRITICAL,,NORMAL
17,2025-12-12 11:59:18.130811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
18,2025-12-12 11:59:35.410811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
19,2025-12-12 11:59:52.690811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
20,2025-12-12 12:00:09.970811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
21,2025-12-12 12:00:27.250811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
22,2025-12-12 12:00:44.530811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
23,2025-12-12 12:01:01.810811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
24,2025-12-12 12:01:19.090811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
25,2025-12-12 12:01:36.370811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
26,2025-12-12 12:01:53.650811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
27,2025-12-12 12:02:10.930811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
28,2025-12-12 12:02:10.930811,CRITICAL,AI_DOMINANT,HIGH,CRITICAL,,NORMAL
29,2025-12-12 12:02:28.210811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
30,2025-12-12 12:02:45.490811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
31,2025-12-12 12:02:45.490811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
32,2025-12-12 12:03:02.770811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
33,2025-12-12 12:03:20.050811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
34,2025-12-12 12:03:37.330811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
35,2025-12-12 12:03:54.610811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
36,2025-12-12 12:03:54.610811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
37,2025-12-12 12:04:11.890811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
38,2025-12-12 12:04:29.170811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
39,2025-12-12 12:04:46.450811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
40,2025-12-12 12:05:03.730811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
41,2025-12-12 12:05:21.010811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
42,2025-12-12 12:05:38.290811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
43,2025-12-12 12:05:38.290811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
44,2025-12-12 12:05:55.570811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
45,2025-12-12 12:06:12.850811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
46,2025-12-12 12:06:30.130811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
47,2025-12-12 12:06:47.410811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
48,2025-12-12 12:07:04.690811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
49,2025-12-12 12:07:04.690811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
50,2025-12-12 12:07:21.970811,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
